,race,sexo,edad,zona_u_r,iden_pol_2,iden_pol_3,interes_pol_1_b,elec_pres_144_a,nom_region,religion_82,esc_nivel_1,gse,pred
429,1,1,65,4,2,1,1,0,36,10,2,12,0
430,2,1,67,2,99,1,2,0,22,11,2,8,0
431,4,2,47,3,4,1,1,0,36,8,8,22,0
432,6,2,42,3,99,2,3,0,12,11,2,8,0
433,1,2,69,2,4,3,3,0,24,2,7,10,0
434,3,1,50,4,4,4,2,1,59,5,7,17,0
435,1,2,76,2,6,7,2,1,31,1,5,1,1
436,1,2,80,3,6,7,3,1,36,2,1,5,1
437,1,2,53,1,6,5,3,1,54,1,2,22,1
438,1,2,32,3,4,2,1,0,8,12,6,15,0
439,1,1,47,4,2,3,1,0,48,9,6,8,0
440,1,1,71,4,6,7,2,1,8,12,3,5,1
441,3,1,32,3,5,5,1,1,53,2,95,18,1
442,6,2,31,2,99,2,2,0,37,11,7,1,0
443,1,2,50,2,3,3,4,0,48,10,7,21,0
444,2,1,46,4,3,1,2,0,36,12,3,6,0
445,1,1,23,2,5,7,1,1,4,11,2,16,1
446,1,1,35,4,2,2,1,0,31,9,6,16,0
447,1,2,41,2,4,2,3,1,40,1,7,19,0
448,1,1,80,3,3,3,3,0,48,1,8,17,0
449,1,2,66,2,2,1,2,0,9,12,6,-9,0
450,1,1,46,3,4,4,1,0,26,3,7,19,0
451,1,1,48,2,2,2,2,0,23,10,6,14,0
452,1,2,76,4,5,6,2,1,48,1,7,12,1
453,1,1,67,4,2,1,1,0,53,11,6,8,0
454,1,2,80,2,2,1,1,0,-9,10,6,9,0
455,1,1,21,2,6,7,2,0,9,1,6,22,1
456,-8,2,67,3,3,2,2,0,40,1,7,3,0
457,1,1,77,1,2,7,2,1,5,1,4,5,1
458,1,1,54,4,4,7,2,1,36,2,3,13,1
459,4,2,43,3,2,2,3,0,6,10,7,20,0
460,1,2,44,3,3,2,2,0,6,10,6,21,0
461,1,1,32,2,4,6,2,1,49,4,2,12,1
462,1,1,59,1,6,7,2,1,37,1,2,13,1
463,1,2,73,3,7,5,2,1,36,2,5,5,1
464,2,2,70,4,99,1,3,0,17,6,3,1,0
465,3,1,41,2,2,1,2,0,48,2,2,15,0
466,1,2,33,4,1,1,2,0,33,9,6,18,0
467,1,1,53,4,6,5,1,2,41,1,6,20,1
468,1,2,44,1,2,2,4,0,39,11,7,17,0
469,1,2,41,2,6,7,2,1,37,1,3,17,1
470,1,2,43,3,4,6,2,1,34,2,7,22,1
471,1,1,76,2,6,7,2,1,51,1,1,-9,1
472,1,2,29,4,2,3,2,0,20,11,7,19,0
473,1,1,61,3,5,6,2,1,20,1,6,-9,1
474,1,1,56,3,5,7,3,0,26,2,7,21,1
475,1,2,39,1,7,7,2,1,1,11,3,16,1
476,1,1,28,4,4,5,1,2,38,10,2,15,1
477,1,2,68,2,2,1,1,0,27,1,7,11,0
478,6,2,26,4,2,2,2,0,39,1,6,18,0
